GHO (CODE),GHO (DISPLAY),GHO (URL),DATASOURCE (CODE),DATASOURCE (DISPLAY),DATASOURCE (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),STARTYEAR,ENDYEAR,REGION (DISPLAY),REGION (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),RESIDENCEAREATYPE (CODE),RESIDENCEAREATYPE (DISPLAY),RESIDENCEAREATYPE (URL),DRIVERTYPE (CODE),DRIVERTYPE (DISPLAY),DRIVERTYPE (URL),MOTOCYCLEOCCUPANTTYPE (CODE),MOTOCYCLEOCCUPANTTYPE (DISPLAY),MOTOCYCLEOCCUPANTTYPE (URL),ROADUSERTYPE (CODE),ROADUSERTYPE (DISPLAY),ROADUSERTYPE (URL),SEATTYPE (CODE),SEATTYPE (DISPLAY),SEATTYPE (URL),VEHICLESTANDARD (CODE),VEHICLESTANDARD (DISPLAY),VEHICLESTANDARD (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
RS_196,Estimated number of road traffic deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/196,,,,PUBLISHED,Published,,2009,2009,,SEAR,2009,2009,South-East Asia,,IND,India,,,,,MLE,Male,,,,,,,,,,,,,,,,,,,,167983 [113080-192907],167983.20000,113080.40000,192906.80000,,,
RS_196,Estimated number of road traffic deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/196,,,,PUBLISHED,Published,,2010,2010,,SEAR,2010,2010,South-East Asia,,IND,India,,,,,BTSX,Both sexes,,,,,,,,,,,,,,,,,,,,212091 [147193-245087],212091.40000,147192.50000,245086.90000,,,
RS_196,Estimated number of road traffic deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/196,,,,PUBLISHED,Published,,2001,2001,,SEAR,2001,2001,South-East Asia,,IND,India,,,,,BTSX,Both sexes,,,,,,,,,,,,,,,,,,,,178818 [135956-207935],178817.70000,135955.50000,207935.20000,,,
RS_196,Estimated number of road traffic deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/196,,,,PUBLISHED,Published,,2005,2005,,SEAR,2005,2005,South-East Asia,,IND,India,,,,,MLE,Male,,,,,,,,,,,,,,,,,,,,144579 [102425-166670],144579.00000,102425.30000,166669.90000,,,
RS_196,Estimated number of road traffic deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/196,,,,PUBLISHED,Published,,2019,2019,,SEAR,2019,2019,South-East Asia,,IND,India,,,,,FMLE,Female,,,,,,,,,,,,,,,,,,,,46175 [35545-58707],46175.21000,35545.46000,58707.08000,,,
RS_196,Estimated number of road traffic deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/196,,,,PUBLISHED,Published,,2002,2002,,SEAR,2002,2002,South-East Asia,,IND,India,,,,,MLE,Male,,,,,,,,,,,,,,,,,,,,137910 [101831-159188],137910.30000,101831.40000,159187.70000,,,
RS_196,Estimated number of road traffic deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/196,,,,PUBLISHED,Published,,2008,2008,,SEAR,2008,2008,South-East Asia,,IND,India,,,,,MLE,Male,,,,,,,,,,,,,,,,,,,,166066 [112040-190777],166066.40000,112039.60000,190777.10000,,,
RS_196,Estimated number of road traffic deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/196,,,,PUBLISHED,Published,,2017,2017,,SEAR,2017,2017,South-East Asia,,IND,India,,,,,FMLE,Female,,,,,,,,,,,,,,,,,,,,44659 [36183-54790],44659.43000,36183.05000,54789.80000,,,
RS_196,Estimated number of road traffic deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/196,,,,PUBLISHED,Published,,2006,2006,,SEAR,2006,2006,South-East Asia,,IND,India,,,,,FMLE,Female,,,,,,,,,,,,,,,,,,,,38591 [32136-45626],38590.80000,32136.34000,45625.71000,,,
RS_196,Estimated number of road traffic deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/196,,,,PUBLISHED,Published,,2003,2003,,SEAR,2003,2003,South-East Asia,,IND,India,,,,,FMLE,Female,,,,,,,,,,,,,,,,,,,,38934 [32246-46161],38934.04000,32246.14000,46160.58000,,,
RS_196,Estimated number of road traffic deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/196,,,,PUBLISHED,Published,,2011,2011,,SEAR,2011,2011,South-East Asia,,IND,India,,,,,FMLE,Female,,,,,,,,,,,,,,,,,,,,41501 [34857-48484],41500.89000,34857.41000,48483.88000,,,
RS_196,Estimated number of road traffic deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/196,,,,PUBLISHED,Published,,2018,2018,,SEAR,2018,2018,South-East Asia,,IND,India,,,,,MLE,Male,,,,,,,,,,,,,,,,,,,,164481 [107585-201635],164480.90000,107584.80000,201634.60000,,,
RS_196,Estimated number of road traffic deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/196,,,,PUBLISHED,Published,,2018,2018,,SEAR,2018,2018,South-East Asia,,IND,India,,,,,BTSX,Both sexes,,,,,,,,,,,,,,,,,,,,210086 [143688-258565],210086.40000,143688.30000,258564.50000,,,
RS_196,Estimated number of road traffic deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/196,,,,PUBLISHED,Published,,2000,2000,,SEAR,2000,2000,South-East Asia,,IND,India,,,,,FMLE,Female,,,,,,,,,,,,,,,,,,,,42217 [34683-50162],42217.48000,34683.02000,50162.11000,,,
RS_196,Estimated number of road traffic deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/196,,,,PUBLISHED,Published,,2007,2007,,SEAR,2007,2007,South-East Asia,,IND,India,,,,,FMLE,Female,,,,,,,,,,,,,,,,,,,,39123 [32585-46001],39123.16000,32585.46000,46000.76000,,,
RS_196,Estimated number of road traffic deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/196,,,,PUBLISHED,Published,,2002,2002,,SEAR,2002,2002,South-East Asia,,IND,India,,,,,FMLE,Female,,,,,,,,,,,,,,,,,,,,40775 [33647-48293],40775.27000,33647.04000,48292.57000,,,
RS_196,Estimated number of road traffic deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/196,,,,PUBLISHED,Published,,2015,2015,,SEAR,2015,2015,South-East Asia,,IND,India,,,,,MLE,Male,,,,,,,,,,,,,,,,,,,,160316 [105413-186491],160315.90000,105412.90000,186490.70000,,,
RS_196,Estimated number of road traffic deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/196,,,,PUBLISHED,Published,,2008,2008,,SEAR,2008,2008,South-East Asia,,IND,India,,,,,FMLE,Female,,,,,,,,,,,,,,,,,,,,39846 [33261-46907],39846.27000,33261.01000,46906.84000,,,
RS_196,Estimated number of road traffic deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/196,,,,PUBLISHED,Published,,2002,2002,,SEAR,2002,2002,South-East Asia,,IND,India,,,,,BTSX,Both sexes,,,,,,,,,,,,,,,,,,,,178686 [135478-207480],178685.60000,135478.40000,207480.30000,,,
RS_196,Estimated number of road traffic deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/196,,,,PUBLISHED,Published,,2019,2019,,SEAR,2019,2019,South-East Asia,,IND,India,,,,,BTSX,Both sexes,,,,,,,,,,,,,,,,,,,,212596 [146060-266874],212595.90000,146059.50000,266873.90000,,,
RS_196,Estimated number of road traffic deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/196,,,,PUBLISHED,Published,,2011,2011,,SEAR,2011,2011,South-East Asia,,IND,India,,,,,MLE,Male,,,,,,,,,,,,,,,,,,,,176429 [116203-203507],176428.60000,116203.20000,203506.50000,,,
RS_196,Estimated number of road traffic deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/196,,,,PUBLISHED,Published,,2012,2012,,SEAR,2012,2012,South-East Asia,,IND,India,,,,,BTSX,Both sexes,,,,,,,,,,,,,,,,,,,,222797 [151681-257303],222797.10000,151680.80000,257302.90000,,,
RS_196,Estimated number of road traffic deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/196,,,,PUBLISHED,Published,,2000,2000,,SEAR,2000,2000,South-East Asia,,IND,India,,,,,MLE,Male,,,,,,,,,,,,,,,,,,,,135915 [101060-156576],135914.90000,101059.50000,156575.90000,,,
RS_196,Estimated number of road traffic deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/196,,,,PUBLISHED,Published,,2013,2013,,SEAR,2013,2013,South-East Asia,,IND,India,,,,,MLE,Male,,,,,,,,,,,,,,,,,,,,174634 [113450-201676],174634.20000,113449.80000,201676.40000,,,
RS_196,Estimated number of road traffic deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/196,,,,PUBLISHED,Published,,2005,2005,,SEAR,2005,2005,South-East Asia,,IND,India,,,,,FMLE,Female,,,,,,,,,,,,,,,,,,,,37766 [31348-44614],37766.49000,31347.80000,44613.89000,,,
RS_196,Estimated number of road traffic deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/196,,,,PUBLISHED,Published,,2013,2013,,SEAR,2013,2013,South-East Asia,,IND,India,,,,,BTSX,Both sexes,,,,,,,,,,,,,,,,,,,,217778 [149867-251933],217778.00000,149866.90000,251933.40000,,,
RS_196,Estimated number of road traffic deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/196,,,,PUBLISHED,Published,,2016,2016,,SEAR,2016,2016,South-East Asia,,IND,India,,,,,MLE,Male,,,,,,,,,,,,,,,,,,,,158448 [103905-187335],158448.40000,103904.90000,187334.60000,,,
RS_196,Estimated number of road traffic deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/196,,,,PUBLISHED,Published,,2006,2006,,SEAR,2006,2006,South-East Asia,,IND,India,,,,,MLE,Male,,,,,,,,,,,,,,,,,,,,151312 [106933-174492],151311.70000,106932.80000,174492.10000,,,
RS_196,Estimated number of road traffic deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/196,,,,PUBLISHED,Published,,2016,2016,,SEAR,2016,2016,South-East Asia,,IND,India,,,,,BTSX,Both sexes,,,,,,,,,,,,,,,,,,,,202999 [140819-240807],202999.10000,140819.30000,240807.20000,,,
RS_196,Estimated number of road traffic deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/196,,,,PUBLISHED,Published,,2009,2009,,SEAR,2009,2009,South-East Asia,,IND,India,,,,,FMLE,Female,,,,,,,,,,,,,,,,,,,,39630 [33274-46374],39629.73000,33274.41000,46373.94000,,,
RS_196,Estimated number of road traffic deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/196,,,,PUBLISHED,Published,,2015,2015,,SEAR,2015,2015,South-East Asia,,IND,India,,,,,BTSX,Both sexes,,,,,,,,,,,,,,,,,,,,204523 [142485-239151],204523.20000,142485.10000,239151.30000,,,
RS_196,Estimated number of road traffic deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/196,,,,PUBLISHED,Published,,2016,2016,,SEAR,2016,2016,South-East Asia,,IND,India,,,,,FMLE,Female,,,,,,,,,,,,,,,,,,,,44551 [36914-53473],44550.70000,36914.43000,53472.69000,,,
RS_196,Estimated number of road traffic deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/196,,,,PUBLISHED,Published,,2009,2009,,SEAR,2009,2009,South-East Asia,,IND,India,,,,,BTSX,Both sexes,,,,,,,,,,,,,,,,,,,,207613 [146355-239281],207613.00000,146354.80000,239280.70000,,,
RS_196,Estimated number of road traffic deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/196,,,,PUBLISHED,Published,,2011,2011,,SEAR,2011,2011,South-East Asia,,IND,India,,,,,BTSX,Both sexes,,,,,,,,,,,,,,,,,,,,217929 [151061-251990],217929.40000,151060.60000,251990.40000,,,
RS_196,Estimated number of road traffic deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/196,,,,PUBLISHED,Published,,2007,2007,,SEAR,2007,2007,South-East Asia,,IND,India,,,,,MLE,Male,,,,,,,,,,,,,,,,,,,,158001 [109923-181924],158000.50000,109922.70000,181923.90000,,,
RS_196,Estimated number of road traffic deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/196,,,,PUBLISHED,Published,,2000,2000,,SEAR,2000,2000,South-East Asia,,IND,India,,,,,BTSX,Both sexes,,,,,,,,,,,,,,,,,,,,178132 [135743-206738],178132.40000,135742.50000,206738.00000,,,
RS_198,Estimated road traffic death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/198,,,,PUBLISHED,Published,,2001,2001,,SEAR,2001,2001,South-East Asia,,IND,India,,,,,MLE,Male,,,,,,,,,,,,,,,,,,,,24.5 [18.2-28.3],24.51584,18.15457,28.33943,,,
RS_198,Estimated road traffic death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/198,,,,PUBLISHED,Published,,2004,2004,,SEAR,2004,2004,South-East Asia,,IND,India,,,,,BTSX,Both sexes,,,,,,,,,,,,,,,,,,,,15.6 [11.5-18.1],15.59623,11.50652,18.12284,,,
RS_198,Estimated road traffic death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/198,,,,PUBLISHED,Published,,2002,2002,,SEAR,2002,2002,South-East Asia,,IND,India,,,,,MLE,Male,,,,,,,,,,,,,,,,,,,,24.3 [17.9-28.0],24.25263,17.90786,27.99443,,,
RS_198,Estimated road traffic death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/198,,,,PUBLISHED,Published,,2010,2010,,SEAR,2010,2010,South-East Asia,,IND,India,,,,,FMLE,Female,,,,,,,,,,,,,,,,,,,,6.8 [5.7-8.0],6.84624,5.72560,8.02452,,,
RS_198,Estimated road traffic death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/198,,,,PUBLISHED,Published,,2016,2016,,SEAR,2016,2016,South-East Asia,,IND,India,,,,,BTSX,Both sexes,,,,,,,,,,,,,,,,,,,,15.3 [10.6-18.2],15.32627,10.63175,18.18076,,,
RS_198,Estimated road traffic death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/198,,,,PUBLISHED,Published,,2007,2007,,SEAR,2007,2007,South-East Asia,,IND,India,,,,,BTSX,Both sexes,,,,,,,,,,,,,,,,,,,,16.7 [12.0-19.3],16.66008,12.04420,19.26326,,,
RS_198,Estimated road traffic death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/198,,,,PUBLISHED,Published,,2018,2018,,SEAR,2018,2018,South-East Asia,,IND,India,,,,,FMLE,Female,,,,,,,,,,,,,,,,,,,,7.0 [5.6-8.8],7.02070,5.55792,8.76401,,,
RS_198,Estimated road traffic death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/198,,,,PUBLISHED,Published,,2005,2005,,SEAR,2005,2005,South-East Asia,,IND,India,,,,,MLE,Male,,,,,,,,,,,,,,,,,,,,24.2 [17.2-27.9],24.21547,17.15516,27.91547,,,
RS_198,Estimated road traffic death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/198,,,,PUBLISHED,Published,,2019,2019,,SEAR,2019,2019,South-East Asia,,IND,India,,,,,FMLE,Female,,,,,,,,,,,,,,,,,,,,7.0 [5.4-8.9],7.03581,5.41614,8.94532,,,
RS_198,Estimated road traffic death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/198,,,,PUBLISHED,Published,,2001,2001,,SEAR,2001,2001,South-East Asia,,IND,India,,,,,BTSX,Both sexes,,,,,,,,,,,,,,,,,,,,16.6 [12.6-19.3],16.63420,12.64702,19.34280,,,
RS_198,Estimated road traffic death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/198,,,,PUBLISHED,Published,,2000,2000,,SEAR,2000,2000,South-East Asia,,IND,India,,,,,MLE,Male,,,,,,,,,,,,,,,,,,,,24.7 [18.4-28.5],24.73934,18.39493,28.50006,,,
RS_198,Estimated road traffic death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/198,,,,PUBLISHED,Published,,2015,2015,,SEAR,2015,2015,South-East Asia,,IND,India,,,,,MLE,Male,,,,,,,,,,,,,,,,,,,,23.5 [15.5-27.4],23.53353,15.47407,27.37585,,,
RS_198,Estimated road traffic death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/198,,,,PUBLISHED,Published,,2006,2006,,SEAR,2006,2006,South-East Asia,,IND,India,,,,,MLE,Male,,,,,,,,,,,,,,,,,,,,25.0 [17.6-28.8],24.95302,17.63443,28.77572,,,
RS_198,Estimated road traffic death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/198,,,,PUBLISHED,Published,,2001,2001,,SEAR,2001,2001,South-East Asia,,IND,India,,,,,FMLE,Female,,,,,,,,,,,,,,,,,,,,8.1 [6.7-9.6],8.09439,6.67957,9.59491,,,
RS_198,Estimated road traffic death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/198,,,,PUBLISHED,Published,,2013,2013,,SEAR,2013,2013,South-East Asia,,IND,India,,,,,BTSX,Both sexes,,,,,,,,,,,,,,,,,,,,17.0 [11.7-19.7],17.00272,11.70065,19.66936,,,
RS_198,Estimated road traffic death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/198,,,,PUBLISHED,Published,,2004,2004,,SEAR,2004,2004,South-East Asia,,IND,India,,,,,FMLE,Female,,,,,,,,,,,,,,,,,,,,6.9 [5.7-8.2],6.91308,5.74432,8.19625,,,
RS_198,Estimated road traffic death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/198,,,,PUBLISHED,Published,,2002,2002,,SEAR,2002,2002,South-East Asia,,IND,India,,,,,FMLE,Female,,,,,,,,,,,,,,,,,,,,7.8 [6.4-9.2],7.77151,6.41291,9.20426,,,
RS_198,Estimated road traffic death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/198,,,,PUBLISHED,Published,,2010,2010,,SEAR,2010,2010,South-East Asia,,IND,India,,,,,BTSX,Both sexes,,,,,,,,,,,,,,,,,,,,17.2 [11.9-19.9],17.18339,11.92536,19.85665,,,
RS_198,Estimated road traffic death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/198,,,,PUBLISHED,Published,,2017,2017,,SEAR,2017,2017,South-East Asia,,IND,India,,,,,FMLE,Female,,,,,,,,,,,,,,,,,,,,6.9 [5.6-8.5],6.94768,5.62901,8.52367,,,
RS_198,Estimated road traffic death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/198,,,,PUBLISHED,Published,,2016,2016,,SEAR,2016,2016,South-East Asia,,IND,India,,,,,MLE,Male,,,,,,,,,,,,,,,,,,,,23.0 [15.1-27.2],23.01007,15.08919,27.20495,,,
RS_198,Estimated road traffic death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/198,,,,PUBLISHED,Published,,2013,2013,,SEAR,2013,2013,South-East Asia,,IND,India,,,,,MLE,Male,,,,,,,,,,,,,,,,,,,,26.2 [17.0-30.3],26.21482,17.03027,30.27421,,,
RS_198,Estimated road traffic death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/198,,,,PUBLISHED,Published,,2012,2012,,SEAR,2012,2012,South-East Asia,,IND,India,,,,,BTSX,Both sexes,,,,,,,,,,,,,,,,,,,,17.6 [12.0-20.3],17.60156,11.98318,20.32761,,,
RS_198,Estimated road traffic death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/198,,,,PUBLISHED,Published,,2019,2019,,SEAR,2019,2019,South-East Asia,,IND,India,,,,,MLE,Male,,,,,,,,,,,,,,,,,,,,23.4 [15.6-29.3],23.43526,15.56252,29.31392,,,
RS_198,Estimated road traffic death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/198,,,,PUBLISHED,Published,,2012,2012,,SEAR,2012,2012,South-East Asia,,IND,India,,,,,MLE,Male,,,,,,,,,,,,,,,,,,,,27.4 [17.6-31.5],27.37582,17.58937,31.54992,,,
RS_198,Estimated road traffic death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/198,,,,PUBLISHED,Published,,2009,2009,,SEAR,2009,2009,South-East Asia,,IND,India,,,,,FMLE,Female,,,,,,,,,,,,,,,,,,,,6.8 [5.7-7.9],6.78426,5.69628,7.93880,,,
RS_198,Estimated road traffic death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/198,,,,PUBLISHED,Published,,2014,2014,,SEAR,2014,2014,South-East Asia,,IND,India,,,,,MLE,Male,,,,,,,,,,,,,,,,,,,,24.6 [16.0-28.4],24.55572,16.02410,28.44139,,,
RS_198,Estimated road traffic death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/198,,,,PUBLISHED,Published,,2011,2011,,SEAR,2011,2011,South-East Asia,,IND,India,,,,,BTSX,Both sexes,,,,,,,,,,,,,,,,,,,,17.4 [12.1-20.2],17.43034,12.08207,20.15459,,,
RS_198,Estimated road traffic death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/198,,,,PUBLISHED,Published,,2014,2014,,SEAR,2014,2014,South-East Asia,,IND,India,,,,,FMLE,Female,,,,,,,,,,,,,,,,,,,,7.0 [5.8-8.2],6.95121,5.83660,8.18950,,,
RS_198,Estimated road traffic death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/198,,,,PUBLISHED,Published,,2006,2006,,SEAR,2006,2006,South-East Asia,,IND,India,,,,,BTSX,Both sexes,,,,,,,,,,,,,,,,,,,,16.3 [11.9-18.9],16.29385,11.93229,18.88634,,,
RS_198,Estimated road traffic death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/198,,,,PUBLISHED,Published,,2010,2010,,SEAR,2010,2010,South-East Asia,,IND,India,,,,,MLE,Male,,,,,,,,,,,,,,,,,,,,26.7 [17.6-30.8],26.71492,17.64195,30.76663,,,
RS_198,Estimated road traffic death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/198,,,,PUBLISHED,Published,,2005,2005,,SEAR,2005,2005,South-East Asia,,IND,India,,,,,FMLE,Female,,,,,,,,,,,,,,,,,,,,6.9 [5.7-8.1],6.85968,5.69383,8.10340,,,
RS_198,Estimated road traffic death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/198,,,,PUBLISHED,Published,,2003,2003,,SEAR,2003,2003,South-East Asia,,IND,India,,,,,MLE,Male,,,,,,,,,,,,,,,,,,,,23.6 [17.3-27.2],23.63332,17.30492,27.21668,,,
RS_198,Estimated road traffic death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/198,,,,PUBLISHED,Published,,2009,2009,,SEAR,2009,2009,South-East Asia,,IND,India,,,,,MLE,Male,,,,,,,,,,,,,,,,,,,,26.5 [17.8-30.4],26.51319,17.84774,30.44693,,,
RS_198,Estimated road traffic death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/198,,,,PUBLISHED,Published,,2007,2007,,SEAR,2007,2007,South-East Asia,,IND,India,,,,,MLE,Male,,,,,,,,,,,,,,,,,,,,25.7 [17.9-29.6],25.66487,17.85534,29.55088,,,
RS_198,Estimated road traffic death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/198,,,,PUBLISHED,Published,,2000,2000,,SEAR,2000,2000,South-East Asia,,IND,India,,,,,BTSX,Both sexes,,,,,,,,,,,,,,,,,,,,16.9 [12.8-19.6],16.85941,12.84741,19.56680,,,
RS_198,Estimated road traffic death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/198,,,,PUBLISHED,Published,,2008,2008,,SEAR,2008,2008,South-East Asia,,IND,India,,,,,FMLE,Female,,,,,,,,,,,,,,,,,,,,6.9 [5.8-8.1],6.91837,5.77499,8.14427,,,
RS_198,Estimated road traffic death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/198,,,,PUBLISHED,Published,,2016,2016,,SEAR,2016,2016,South-East Asia,,IND,India,,,,,FMLE,Female,,,,,,,,,,,,,,,,,,,,7.0 [5.8-8.4],7.00579,5.80495,8.40881,,,
RS_198,Estimated road traffic death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/198,,,,PUBLISHED,Published,,2018,2018,,SEAR,2018,2018,South-East Asia,,IND,India,,,,,BTSX,Both sexes,,,,,,,,,,,,,,,,,,,,15.5 [10.6-19.1],15.53156,10.62279,19.11551,,,
RS_198,Estimated road traffic death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/198,,,,PUBLISHED,Published,,2004,2004,,SEAR,2004,2004,South-East Asia,,IND,India,,,,,MLE,Male,,,,,,,,,,,,,,,,,,,,23.6 [16.8-27.3],23.60447,16.82085,27.27787,,,
RS_198,Estimated road traffic death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/198,,,,PUBLISHED,Published,,2002,2002,,SEAR,2002,2002,South-East Asia,,IND,India,,,,,BTSX,Both sexes,,,,,,,,,,,,,,,,,,,,16.3 [12.4-19.0],16.34344,12.39150,18.97713,,,
RS_198,Estimated road traffic death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/198,,,,PUBLISHED,Published,,2017,2017,,SEAR,2017,2017,South-East Asia,,IND,India,,,,,MLE,Male,,,,,,,,,,,,,,,,,,,,22.7 [15.0-27.4],22.74354,15.04621,27.41290,,,
RS_198,Estimated road traffic death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/198,,,,PUBLISHED,Published,,2008,2008,,SEAR,2008,2008,South-East Asia,,IND,India,,,,,MLE,Male,,,,,,,,,,,,,,,,,,,,26.6 [17.9-30.5],26.58249,17.93434,30.53797,,,
RS_198,Estimated road traffic death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/198,,,,PUBLISHED,Published,,2014,2014,,SEAR,2014,2014,South-East Asia,,IND,India,,,,,BTSX,Both sexes,,,,,,,,,,,,,,,,,,,,16.1 [11.1-18.7],16.10604,11.13437,18.72104,,,
RS_198,Estimated road traffic death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/198,,,,PUBLISHED,Published,,2011,2011,,SEAR,2011,2011,South-East Asia,,IND,India,,,,,FMLE,Female,,,,,,,,,,,,,,,,,,,,6.9 [5.8-8.1],6.91853,5.81101,8.08265,,,
RS_198,Estimated road traffic death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/198,,,,PUBLISHED,Published,,2017,2017,,SEAR,2017,2017,South-East Asia,,IND,India,,,,,BTSX,Both sexes,,,,,,,,,,,,,,,,,,,,15.2 [10.5-18.3],15.15880,10.52433,18.34280,,,
RS_198,Estimated road traffic death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/198,,,,PUBLISHED,Published,,2009,2009,,SEAR,2009,2009,South-East Asia,,IND,India,,,,,BTSX,Both sexes,,,,,,,,,,,,,,,,,,,,17.0 [12.0-19.6],17.04923,12.01869,19.64980,,,
