GHO (CODE),GHO (DISPLAY),GHO (URL),DATASOURCE (CODE),DATASOURCE (DISPLAY),DATASOURCE (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),STARTYEAR,ENDYEAR,REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
HRH_15,Number of dentists,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/101,,,,PUBLISHED,Published,,2009,2009,,SEAR,2009,2009,South-East Asia,,,,,IND,India,,104603,104603.00000,,,,,
HRH_15,Number of dentists,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/101,,,,PUBLISHED,Published,,2003,2003,,SEAR,2003,2003,South-East Asia,,,,,IND,India,,47318,47318.00000,,,,,
HRH_15,Number of dentists,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/101,,,,PUBLISHED,Published,,2008,2008,,SEAR,2008,2008,South-East Asia,,,,,IND,India,,93332,93332.00000,,,,,
HRH_16,Number of traditional medicine practitioners,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/100,,,,PUBLISHED,Published,,2010,2010,,SEAR,2010,2010,South-East Asia,,,,,IND,India,,712121,712121.00000,,,,,
HRH_16,Number of traditional medicine practitioners,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/100,,,,PUBLISHED,Published,,2005,2005,,SEAR,2005,2005,South-East Asia,,,,,IND,India,,717860,717860.00000,,,,,
HRH_16,Number of traditional medicine practitioners,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/100,,,,PUBLISHED,Published,,2006,2006,,SEAR,2006,2006,South-East Asia,,,,,IND,India,,713143,713143.00000,,,,,
HRH_16,Number of traditional medicine practitioners,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/100,,,,PUBLISHED,Published,,2004,2004,,SEAR,2004,2004,South-East Asia,,,,,IND,India,,699351,699351.00000,,,,,
HRH_17,Number of medical assistants,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4547,,,,PUBLISHED,Published,,1991,1991,,SEAR,1991,1991,South-East Asia,,,,,IND,India,,65500,65500.00000,,,,,
HRH_19,Number of pharmaceutical personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/319,,,,PUBLISHED,Published,,2013,2013,,SEAR,2013,2013,South-East Asia,,,,,IND,India,,664176,664176.00000,,,,,Includes Pharmacists</br> Data Source: Indian Nursing Council & Pharmacy Council of India
HRH_19,Number of pharmaceutical personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/319,,,,PUBLISHED,Published,,2009,2009,,SEAR,2009,2009,South-East Asia,,,,,IND,India,,655801,655801.00000,,,,,Includes Pharmacists</br> Data Source: Indian Nursing Council & Pharmacy Council of India
HRH_19,Number of pharmaceutical personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/319,,,,PUBLISHED,Published,,2006,2006,,SEAR,2006,2006,South-East Asia,,,,,IND,India,,578179,578179.00000,,,,,"Includes Pharmacists</br> Data Source: National Health Profile, 2005-06; Health Information of India, 2004, 2005, 2006; National Commission on Macroeconomics and Health, 2005"
HRH_19,Number of pharmaceutical personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/319,,,,PUBLISHED,Published,,2003,2003,,SEAR,2003,2003,South-East Asia,,,,,IND,India,,559408,559408.00000,,,,,Includes Pharmacist</br> Data Source: Pharmacy Council of India
HRH_21,Number of dentistry personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/103,,,,PUBLISHED,Published,,2014,2014,,SEAR,2014,2014,South-East Asia,,,,,IND,India,,154436,154436.00000,,,,,Includes Dental Surgeons (registered)</br> Data Source: Dental Council of India
HRH_21,Number of dentistry personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/103,,,,PUBLISHED,Published,,2016,2016,,SEAR,2016,2016,South-East Asia,,,,,IND,India,,197734,197734.00000,,,,,Includes Dental surgeons  (registered)</br> Data Source: National Health Profile (NHP) of India � 2017
HRH_21,Number of dentistry personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/103,,,,PUBLISHED,Published,,1991,1991,,SEAR,1991,1991,South-East Asia,,,,,IND,India,,19382,19382.00000,,,,,"Includes Dental assistant, Dental  Surgeons</br> Data Source: Census of India, 1991"
HRH_21,Number of dentistry personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/103,,,,PUBLISHED,Published,,2012,2012,,SEAR,2012,2012,South-East Asia,,,,,IND,India,,120897,120897.00000,,,,,Includes Dental Surgeons</br> Data Source: Dental Council of India
HRH_24,Number of nursing and midwifery personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/102,,,,PUBLISHED,Published,,2003,2003,,SEAR,2003,2003,South-East Asia,,,,,IND,India,,1382901,1382901.00000,,,,,"Includes General Nursing  Midwives, Auxiliary nursing midwives, Health visitors & Health supervisors</br> Data Source: Indian Nursing Council, Pharmacy Council of India, Directorate General of Health Services(C.B.H.I.)"
HRH_24,Number of nursing and midwifery personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/102,,,,PUBLISHED,Published,,2007,2007,,SEAR,2007,2007,South-East Asia,,,,,IND,India,,1572363,1572363.00000,,,,,"Includes General Nursing  Midwives, Auxiliary nursing midwives, Health visitors & Health supervisors</br> Data Source: Indian Nursing Council, Pharmacy Council of India, Directorate General of Health Services(C.B.H.I.)"
HRH_24,Number of nursing and midwifery personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/102,,,,PUBLISHED,Published,,2008,2008,,SEAR,2008,2008,South-East Asia,,,,,IND,India,,1652161,1652161.00000,,,,,"Includes General Nursing  Midwives, Auxiliary nursing midwives, Health visitors & Health supervisors</br> Data Source: Indian Nursing Council, Pharmacy Council of India, Directorate General of Health Services(C.B.H.I.)"
HRH_26,Physicians density (per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/112,,,,PUBLISHED,Published,,2012,2012,,SEAR,2012,2012,South-East Asia,,,,,IND,India,,0.699,0.69900,,,,,Includes Doctors </br> Data Source: Medical Council of India
HRH_26,Physicians density (per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/112,,,,PUBLISHED,Published,,2011,2011,,SEAR,2011,2011,South-East Asia,,,,,IND,India,,0.739,0.73900,,,,,Includes Doctors</br> Data Source: Medical Council of India
HRH_26,Physicians density (per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/112,,,,PUBLISHED,Published,,2010,2010,,SEAR,2010,2010,South-East Asia,,,,,IND,India,,0.663,0.66300,,,,,Includes Doctors</br> Data Source: Medical Council of India
HRH_26,Physicians density (per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/112,,,,PUBLISHED,Published,,2009,2009,,SEAR,2009,2009,South-East Asia,,,,,IND,India,,0.624,0.62400,,,,,Includes Allopathic Medical Practitioners</br> Data Source: Ministry of Health & Family Welfare 
HRH_33,Nursing and midwifery personnel density (per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/105,,,,PUBLISHED,Published,,2009,2009,,SEAR,2009,2009,South-East Asia,,,,,IND,India,,1.402,1.40200,,,,,"Includes Auxilliary Nurse Midwives, General Nursing and Midwive, Lady Health Visitors</br> Data Source: Indian Nursing Council & Pharmacy Council of India"
HRH_33,Nursing and midwifery personnel density (per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/105,,,,PUBLISHED,Published,,2008,2008,,SEAR,2008,2008,South-East Asia,,,,,IND,India,,1.38,1.38000,,,,,"Includes General Nursing  Midwives, Auxiliary nursing midwives, Health visitors & Health supervisors</br> Data Source: Indian Nursing Council, Pharmacy Council of India, Directorate General of Health Services(C.B.H.I.)"
HRH_33,Nursing and midwifery personnel density (per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/105,,,,PUBLISHED,Published,,2005,2005,,SEAR,2005,2005,South-East Asia,,,,,IND,India,,1.294,1.29400,,,,,"Includes Nurses, Midwives, Health visitors & Health supervisors</br> Data Source: National Health Profile, 2005-06; Health Information of India, 2004, 2005, 2006; National Commission on Macroeconomics and Health, 2005"
HRH_28,Dentistry personnel density (per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/87,,,,PUBLISHED,Published,,2011,2011,,SEAR,2011,2011,South-East Asia,,,,,IND,India,,0.094,0.09400,,,,,Includes Dental Surgeons</br> Data Source: Dental Council of India
HRH_28,Dentistry personnel density (per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/87,,,,PUBLISHED,Published,,2012,2012,,SEAR,2012,2012,South-East Asia,,,,,IND,India,,0.096,0.09600,,,,,Includes Dental Surgeons</br> Data Source: Dental Council of India
HRH_28,Dentistry personnel density (per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/87,,,,PUBLISHED,Published,,2007,2007,,SEAR,2007,2007,South-East Asia,,,,,IND,India,,0.062,0.06200,,,,,Includes Dental Surgeons</br> Data Source: Ministry of Health & Family Welfare 
HRH_28,Dentistry personnel density (per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/87,,,,PUBLISHED,Published,,2014,2014,,SEAR,2014,2014,South-East Asia,,,,,IND,India,,0.119,0.11900,,,,,Includes Dental Surgeons (registered)</br> Data Source: Dental Council of India
HRH_25,Pharmaceutical personnel density (per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/320,,,,PUBLISHED,Published,,2003,2003,,SEAR,2003,2003,South-East Asia,,,,,IND,India,,0.505,0.50500,,,,,Includes Pharmacist</br> Data Source: Pharmacy Council of India
HRH_29,Community and traditional health workers density (per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4551,,,,PUBLISHED,Published,,2004,2004,,SEAR,2004,2004,South-East Asia,,,,,IND,India,,0.621,0.62100,,,,,
HRH_23,Number of other health workers,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/103,,,,PUBLISHED,Published,,1991,1991,,SEAR,1991,1991,South-East Asia,,,,,IND,India,,1191930,1191930.00000,,,,,
HRH_23,Number of other health workers,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/103,,,,PUBLISHED,Published,,2003,2003,,SEAR,2003,2003,South-East Asia,,,,,IND,India,,1102017,1102017.00000,,,,,
HRH_23,Number of other health workers,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/103,,,,PUBLISHED,Published,,2004,2004,,SEAR,2004,2004,South-East Asia,,,,,IND,India,,532,532.00000,,,,,
HRH_23,Number of other health workers,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/103,,,,PUBLISHED,Published,,2006,2006,,SEAR,2006,2006,South-East Asia,,,,,IND,India,,541,541.00000,,,,,
HRH_23,Number of other health workers,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/103,,,,PUBLISHED,Published,,2007,2007,,SEAR,2007,2007,South-East Asia,,,,,IND,India,,888,888.00000,,,,,
WHS4_154,Antenatal care coverage - at least four visits (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/80,,,,PUBLISHED,Published,,1988-1993,1988-1993,,SEAR,1988,1993,South-East Asia,,,,,IND,India,,26.9,26.90000,,,,,"DHS 1992-93.  International Institute for Population Sciences (IIPS). National Family Health Survey (MCH and Family Planning), India 1992-93. Bombay, India: IIPS; 1995."
MEDS3010700,Presence of National Medicines Policy implementation plan,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2273,,,,PUBLISHED,Published,,2007,2007,,SEAR,2007,2007,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,No,0.00000,,,,,
MEDS5010200,Existence of formal Medicines Regulatory Authority,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1415,,,,PUBLISHED,Published,,2007,2007,,SEAR,2007,2007,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,Yes,0.00000,,,,,
MEDS5010700,Website of the formal Medicines Regulatory Authority,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2252,,,,PUBLISHED,Published,,2009,2009,,SEAR,2009,2009,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,Yes,0.00000,,,,,
MEDS5020100,Market Authorization for all pharmaceutical products required,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2276,,,,PUBLISHED,Published,,2007,2007,,SEAR,2007,2007,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,Yes,0.00000,,,,,
MEDS6060200,Duties on imported finished pharmaceutical products,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2299,,,,PUBLISHED,Published,,2007,2007,,SEAR,2007,2007,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,Yes,0.00000,,,,,
MEDS6060300,Value Added Tax is levied on finished pharmaceuticals products,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2300,,,,PUBLISHED,Published,,2011,2011,,SEAR,2011,2011,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,Yes,0.00000,,,,,
MEDS8010100,National Essential Medicine List exists,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2290,,,,PUBLISHED,Published,,2011,2011,,SEAR,2011,2011,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,Yes,0.00000,,,,,
MEDS8010200,Standard Treatment Guidelines for common illnesses are made by Ministry of Health,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2286,,,,PUBLISHED,Published,,2007,2007,,SEAR,2007,2007,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,Yes,0.00000,,,,,
MEDS8010500,National Standard Treatment Guidelines specific to paediatric conditions exist,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2308,,,,PUBLISHED,Published,,2007,2007,,SEAR,2007,2007,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,Yes,0.00000,,,,,
ODA_4,"Disbursements to recipient countries (Million, constant 2009 US$)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3252,,,,PUBLISHED,Published,,2003,2003,,SEAR,2003,2003,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,486.28,486.28000,,,,,
ODA_4,"Disbursements to recipient countries (Million, constant 2009 US$)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3252,,,,PUBLISHED,Published,,2004,2004,,SEAR,2004,2004,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,654.77,654.77000,,,,,
ODA_4,"Disbursements to recipient countries (Million, constant 2009 US$)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3252,,,,PUBLISHED,Published,,2005,2005,,SEAR,2005,2005,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,687.16,687.16000,,,,,
ODA_4,"Disbursements to recipient countries (Million, constant 2009 US$)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3252,,,,PUBLISHED,Published,,2006,2006,,SEAR,2006,2006,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,506.20,506.20000,,,,,
ODA_4,"Disbursements to recipient countries (Million, constant 2009 US$)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3252,,,,PUBLISHED,Published,,2007,2007,,SEAR,2007,2007,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,681.38,681.38000,,,,,
HRH_01,Number of nursing personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/102,,,,PUBLISHED,Published,,1991,1991,,SEAR,1991,1991,South-East Asia,,,,,IND,India,,30551,30551.00000,,,,,
HRH_04,Number of pharmacists,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/319,,,,PUBLISHED,Published,,1991,1991,,SEAR,1991,1991,South-East Asia,,,,,IND,India,,6186,6186.00000,,,,,
HRH_08,Number of radiographers,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/103,,,,PUBLISHED,Published,,1991,1991,,SEAR,1991,1991,South-East Asia,,,,,IND,India,,11129,11129.00000,,,,,
HRH_17,Number of medical assistants,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4547,,,,PUBLISHED,Published,,1991,1991,,SEAR,1991,1991,South-East Asia,,,,,IND,India,,30721,30721.00000,,,,,
WHS6_116,Median consumer price ratio of selected generic medicines - Private,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/11,,,,PUBLISHED,Published,,2007-2013,2007-2013,,SEAR,2007,2013,South-East Asia,,,,,IND,India,,86.3,86.30000,,,,,"Based on survey in New Delhi, India."
MDG_0000000011,Median consumer price ratio of selected generic medicines - Public,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/11,,,,PUBLISHED,Published,,2007-2013,2007-2013,,SEAR,2007,2013,South-East Asia,,,,,IND,India,,33.1,33.10000,,,,,"Based on survey in New Delhi, India."
HRH_01,Number of nursing personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/102,,,,PUBLISHED,Published,,2016,2016,,SEAR,2016,2016,South-East Asia,,,,,IND,India,,2778248,2778248.00000,,,,,
HRH_01,Number of nursing personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/102,,,,PUBLISHED,Published,,2009,2009,,SEAR,2009,2009,South-East Asia,,,,,IND,India,,1702555,1702555.00000,,,,,
HRH_01,Number of nursing personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/102,,,,PUBLISHED,Published,,2007,2007,,SEAR,2007,2007,South-East Asia,,,,,IND,India,,1572363,1572363.00000,,,,,
HRH_01,Number of nursing personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/102,,,,PUBLISHED,Published,,2013,2013,,SEAR,2013,2013,South-East Asia,,,,,IND,India,,2621981,2621981.00000,,,,,
HRH_02,Number of physicians,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/104,,,,PUBLISHED,Published,,2010,2010,,SEAR,2010,2010,South-East Asia,,,,,IND,India,,816629,816629.00000,,,,,Includes Doctors</br> Data Source: Medical Council of India
HRH_02,Number of physicians,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/104,,,,PUBLISHED,Published,,2016,2016,,SEAR,2016,2016,South-East Asia,,,,,IND,India,,1005281,1005281.00000,,,,,Includes Doctors (registered)</br> Data Source: National Health Profile (NHP) of India � 2017
HRH_02,Number of physicians,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/104,,,,PUBLISHED,Published,,2014,2014,,SEAR,2014,2014,South-East Asia,,,,,IND,India,,938861,938861.00000,,,,,Includes Doctors (registered)</br> Data Source: Medical Council of India
HRH_02,Number of physicians,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/104,,,,PUBLISHED,Published,,2012,2012,,SEAR,2012,2012,South-East Asia,,,,,IND,India,,883812,883812.00000,,,,,Includes Doctors </br> Data Source: Medical Council of India
HRH_04,Number of pharmacists,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/319,,,,PUBLISHED,Published,,2013,2013,,SEAR,2013,2013,South-East Asia,,,,,IND,India,,664176,664176.00000,,,,,
HRH_04,Number of pharmacists,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/319,,,,PUBLISHED,Published,,2010,2010,,SEAR,2010,2010,South-East Asia,,,,,IND,India,,656101,656101.00000,,,,,
HRH_04,Number of pharmacists,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/319,,,,PUBLISHED,Published,,2012,2012,,SEAR,2012,2012,South-East Asia,,,,,IND,India,,630766,630766.00000,,,,,
HRH_04,Number of pharmacists,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/319,,,,PUBLISHED,Published,,2003,2003,,SEAR,2003,2003,South-East Asia,,,,,IND,India,,559408,559408.00000,,,,,
HRH_10,Number of dental technicians/assistants,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/101,,,,PUBLISHED,Published,,1991,1991,,SEAR,1991,1991,South-East Asia,,,,,IND,India,,6366,6366.00000,,,,,
HRH_12,Number of environment and public health workers,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/321,,,,PUBLISHED,Published,,1991,1991,,SEAR,1991,1991,South-East Asia,,,,,IND,India,,42079,42079.00000,,,,,"Includes Public health physician</br> Data Source: Census of India, 1991"
HRH_15,Number of dentists,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/101,,,,PUBLISHED,Published,,2016,2016,,SEAR,2016,2016,South-East Asia,,,,,IND,India,,197734,197734.00000,,,,,
HRH_15,Number of dentists,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/101,,,,PUBLISHED,Published,,2014,2014,,SEAR,2014,2014,South-East Asia,,,,,IND,India,,154436,154436.00000,,,,,
HRH_20,Number of laboratory health workers,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4544,,,,PUBLISHED,Published,,1991,1991,,SEAR,1991,1991,South-East Asia,,,,,IND,India,,15886,15886.00000,,,,,"Includes X-Ray technician</br> Data Source: Census of India, 1991"
HRH_21,Number of dentistry personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/103,,,,PUBLISHED,Published,,2007,2007,,SEAR,2007,2007,South-East Asia,,,,,IND,India,,73057,73057.00000,,,,,Includes Dental Surgeons</br> Data Source: Ministry of Health & Family Welfare 
HRH_21,Number of dentistry personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/103,,,,PUBLISHED,Published,,2002,2002,,SEAR,2002,2002,South-East Asia,,,,,IND,India,,47165,47165.00000,,,,,Includes Dental Surgeons</br> Data Source: Ministry of Health & Family Welfare 
HRH_21,Number of dentistry personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/103,,,,PUBLISHED,Published,,2001,2001,,SEAR,2001,2001,South-East Asia,,,,,IND,India,,47204,47204.00000,,,,,Includes Dental Surgeons</br> Data Source: Ministry of Health & Family Welfare 
HRH_21,Number of dentistry personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/103,,,,PUBLISHED,Published,,2000,2000,,SEAR,2000,2000,South-East Asia,,,,,IND,India,,39105,39105.00000,,,,,Includes Dental Surgeons</br> Data Source: Ministry of Health & Family Welfare 
HRH_22,Number of community and traditional health workers,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4548,,,,PUBLISHED,Published,,2016,2016,,SEAR,2016,2016,South-East Asia,,,,,IND,India,,771468,771468.00000,,,,,
HRH_22,Number of community and traditional health workers,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4548,,,,PUBLISHED,Published,,2011,2011,,SEAR,2011,2011,South-East Asia,,,,,IND,India,,628634,628634.00000,,,,,
HRH_22,Number of community and traditional health workers,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4548,,,,PUBLISHED,Published,,2010,2010,,SEAR,2010,2010,South-East Asia,,,,,IND,India,,712121,712121.00000,,,,,
HRH_22,Number of community and traditional health workers,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4548,,,,PUBLISHED,Published,,2009,2009,,SEAR,2009,2009,South-East Asia,,,,,IND,India,,752254,752254.00000,,,,,
HRH_22,Number of community and traditional health workers,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4548,,,,PUBLISHED,Published,,2007,2007,,SEAR,2007,2007,South-East Asia,,,,,IND,India,,724680,724680.00000,,,,,
HRH_24,Number of nursing and midwifery personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/102,,,,PUBLISHED,Published,,2001,2001,,SEAR,2001,2001,South-East Asia,,,,,IND,India,,1270299,1270299.00000,,,,,"Includes General Nursing  Midwives, Auxiliary nursing midwives, Health visitors & Health supervisors</br> Data Source: Indian Nursing Council, Pharmacy Council of India, Directorate General of Health Services(C.B.H.I.)"
HRH_24,Number of nursing and midwifery personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/102,,,,PUBLISHED,Published,,2000,2000,,SEAR,2000,2000,South-East Asia,,,,,IND,India,,1231322,1231322.00000,,,,,"Includes General Nursing  Midwives, Auxiliary nursing midwives, Health visitors & Health supervisors</br> Data Source: Indian Nursing Council, Pharmacy Council of India, Directorate General of Health Services(C.B.H.I.)"
HRH_24,Number of nursing and midwifery personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/102,,,,PUBLISHED,Published,,1991,1991,,SEAR,1991,1991,South-East Asia,,,,,IND,India,,334570,334570.00000,,,,,"Includes Nurses, Midwives and Health Visitors</br> Data Source: Census of India, 1991"
HRH_24,Number of nursing and midwifery personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/102,,,,PUBLISHED,Published,,2010,2010,,SEAR,2010,2010,South-East Asia,,,,,IND,India,,1894968,1894968.00000,,,,,"Includes Auxilliary Nurse Midwives, Registered Nurses & Registered Midwives, Lady Health Visitors</br> Data Source: Indian Nursing Council & Pharmacy Council of India"
HRH_26,Physicians density (per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/112,,,,PUBLISHED,Published,,1991,1991,,SEAR,1991,1991,South-East Asia,,,,,IND,India,,1.225,1.22500,,,,,"Includes Physicians & Surgeons (Allopathic, Dental and Veterinary) , Physicians & Surgeons ( Allopathic), Physicians & Surgeons n.e.c.</br> Data Source: Census of India, 1991"
HRH_26,Physicians density (per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/112,,,,PUBLISHED,Published,,2000,2000,,SEAR,2000,2000,South-East Asia,,,,,IND,India,,0.527,0.52700,,,,,Includes Allopathic Medical Practitioners</br> Data Source: Ministry of Health & Family Welfare 
HRH_26,Physicians density (per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/112,,,,PUBLISHED,Published,,2001,2001,,SEAR,2001,2001,South-East Asia,,,,,IND,India,,0.538,0.53800,,,,,Includes Allopathic Medical Practitioners</br> Data Source: Ministry of Health & Family Welfare 
HRH_26,Physicians density (per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/112,,,,PUBLISHED,Published,,2003,2003,,SEAR,2003,2003,South-East Asia,,,,,IND,India,,0.564,0.56400,,,,,Includes Allopathic Medical Practitioners</br> Data Source: Ministry of Health & Family Welfare 
HRH_33,Nursing and midwifery personnel density (per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/105,,,,PUBLISHED,Published,,1991,1991,,SEAR,1991,1991,South-East Asia,,,,,IND,India,,0.377,0.37700,,,,,"Includes Nurses, Midwives and Health Visitors</br> Data Source: Census of India, 1991"
HRH_33,Nursing and midwifery personnel density (per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/105,,,,PUBLISHED,Published,,2007,2007,,SEAR,2007,2007,South-East Asia,,,,,IND,India,,1.333,1.33300,,,,,"Includes General Nursing  Midwives, Auxiliary nursing midwives, Health visitors & Health supervisors</br> Data Source: Indian Nursing Council, Pharmacy Council of India, Directorate General of Health Services(C.B.H.I.)"
HRH_33,Nursing and midwifery personnel density (per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/105,,,,PUBLISHED,Published,,2016,2016,,SEAR,2016,2016,South-East Asia,,,,,IND,India,,2.094,2.09400,,,,,"Includes Auxillary Nurse Midwives, Registered Nurse and Registered Midwives, Lady Health Visitor</br> Data Source: National Health Profile (NHP) of India � 2017"
HRH_33,Nursing and midwifery personnel density (per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/105,,,,PUBLISHED,Published,,2013,2013,,SEAR,2013,2013,South-East Asia,,,,,IND,India,,2.049,2.04900,,,,,"Includes Registered Nurses & Registered Midwives, Auxilliary Nurse Midwives, Lady Health Visitors</br> Data Source: Indian Nursing Council & Pharmacy Council of India"
