GHO (CODE),GHO (DISPLAY),GHO (URL),DATASOURCE (CODE),DATASOURCE (DISPLAY),DATASOURCE (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),STARTYEAR,ENDYEAR,REGION (DISPLAY),REGION (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),EDUCATIONLEVEL (CODE),EDUCATIONLEVEL (DISPLAY),EDUCATIONLEVEL (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),RESIDENCEAREATYPE (CODE),RESIDENCEAREATYPE (DISPLAY),RESIDENCEAREATYPE (URL),WEALTHQUINTILE (CODE),WEALTHQUINTILE (DISPLAY),WEALTHQUINTILE (URL),DHSMICSGEOREGION (CODE),DHSMICSGEOREGION (DISPLAY),DHSMICSGEOREGION (URL),WEALTHDECILE (CODE),WEALTHDECILE (DISPLAY),WEALTHDECILE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
fpsmowho,Demand for family planning satisfied - use of modern methods (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3813,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,INDDHS199810,10 kerala,,,,,No data,,,,,,Not available.
fpsmowho,Demand for family planning satisfied - use of modern methods (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3813,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,INDDHS199811,11 madhya pradesh,,,,,No data,,,,,,Not available.
fpsmowho,Demand for family planning satisfied - use of modern methods (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3813,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,INDDHS199812,12 maharashtra,,,,,No data,,,,,,Not available.
fpsmowho,Demand for family planning satisfied - use of modern methods (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3813,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,INDDHS199813,13 manipur,,,,,No data,,,,,,Not available.
fpsmowho,Demand for family planning satisfied - use of modern methods (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3813,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,INDDHS199814,14 meghalaya,,,,,No data,,,,,,Not available.
fpsmowho,Demand for family planning satisfied - use of modern methods (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3813,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,INDDHS199815,15 mizoram,,,,,No data,,,,,,Not available.
fpsmowho,Demand for family planning satisfied - use of modern methods (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3813,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,INDDHS199816,16 nagaland,,,,,No data,,,,,,Not available.
fpsmowho,Demand for family planning satisfied - use of modern methods (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3813,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,INDDHS199817,17 orissa,,,,,No data,,,,,,Not available.
fpsmowho,Demand for family planning satisfied - use of modern methods (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3813,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,INDDHS199818,18 punjab,,,,,No data,,,,,,Not available.
fpsmowho,Demand for family planning satisfied - use of modern methods (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3813,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,INDDHS199819,19 rajasthan,,,,,No data,,,,,,Not available.
fpsmowho,Demand for family planning satisfied - use of modern methods (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3813,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,INDDHS199820,20 sikkim,,,,,No data,,,,,,Not available.
fpsmowho,Demand for family planning satisfied - use of modern methods (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3813,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,INDDHS199821,21 tamil nadu,,,,,No data,,,,,,Not available.
fpsmowho,Demand for family planning satisfied - use of modern methods (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3813,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,INDDHS199822,22 west bengal,,,,,No data,,,,,,Not available.
fpsmowho,Demand for family planning satisfied - use of modern methods (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3813,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,INDDHS199823,23 uttar pradesh,,,,,No data,,,,,,Not available.
fpsmowho,Demand for family planning satisfied - use of modern methods (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3813,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,INDDHS199824,24 new delhi,,,,,No data,,,,,,Not available.
fpsmowho,Demand for family planning satisfied - use of modern methods (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3813,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,INDDHS199825,25 arunachal pradesh,,,,,No data,,,,,,Not available.
fpsmowho,Demand for family planning satisfied - use of modern methods (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3813,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,INDDHS199826,26 tripura,,,,,No data,,,,,,Not available.
imr,Infant mortality rate (deaths per 1000 live births),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3342,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,INDDHS199801,01 andhra pradesh,,,,,70.8 [61.8-81.1],71.00000,62.00000,81.00000,,,
imr,Infant mortality rate (deaths per 1000 live births),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3342,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,INDDHS199802,02 assam,,,,,61.5 [53.4-70.8],62.00000,53.00000,71.00000,,,
imr,Infant mortality rate (deaths per 1000 live births),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3342,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,INDDHS199803,03 bihar,,,,,75.7 [69.8-81.9],76.00000,70.00000,82.00000,,,
imr,Infant mortality rate (deaths per 1000 live births),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3342,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,INDDHS199804,04 goa,,,,,No data,,,,,,Not reported - Estimate is based on fewer than 250 unweighted person-years of exposure to the risk of death.
imr,Infant mortality rate (deaths per 1000 live births),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3342,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,INDDHS199805,05 gujarat,,,,,64.4 [56.0-73.9],64.00000,56.00000,74.00000,,,
imr,Infant mortality rate (deaths per 1000 live births),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3342,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,INDDHS199806,06 haryana,,,,,59.0 [51.9-66.9],59.00000,52.00000,67.00000,,,
imr,Infant mortality rate (deaths per 1000 live births),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3342,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,INDDHS199807,07 himachal pradesh,,,,,39.7 [32.1-49.0],40.00000,32.00000,49.00000,,,
imr,Infant mortality rate (deaths per 1000 live births),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3342,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,INDDHS199808,08 jammu and kashmir,,,,,62.8 [55.3-71.1],63.00000,55.00000,71.00000,,,
imr,Infant mortality rate (deaths per 1000 live births),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3342,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,INDDHS199809,09 karnataka,,,,,62.3 [54.7-70.8],62.00000,55.00000,71.00000,,,
imr,Infant mortality rate (deaths per 1000 live births),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3342,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,INDDHS199810,10 kerala,,,,,20.9 [15.7-27.7],21.00000,16.00000,28.00000,,,
imr,Infant mortality rate (deaths per 1000 live births),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3342,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,INDDHS199811,11 madhya pradesh,,,,,92.5 [85.2-100.3],93.00000,85.00000,100.00000,,,
imr,Infant mortality rate (deaths per 1000 live births),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3342,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,INDDHS199812,12 maharashtra,,,,,53.2 [46.0-61.5],53.00000,46.00000,61.00000,,,
imr,Infant mortality rate (deaths per 1000 live births),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3342,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,INDDHS199813,13 manipur,,,,,39.4 [30.2-51.3],39.00000,30.00000,51.00000,,,Attention - Estimate is based on 250-499 unweighted person-years of exposure to the risk of death.
imr,Infant mortality rate (deaths per 1000 live births),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3342,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,INDDHS199814,14 meghalaya,,,,,89.6 [75.2-106.5],90.00000,75.00000,107.00000,,,Attention - Estimate is based on 250-499 unweighted person-years of exposure to the risk of death.
imr,Infant mortality rate (deaths per 1000 live births),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3342,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,INDDHS199815,15 mizoram,,,,,No data,,,,,,Not reported - Estimate is based on fewer than 250 unweighted person-years of exposure to the risk of death.
imr,Infant mortality rate (deaths per 1000 live births),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3342,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,INDDHS199816,16 nagaland,,,,,No data,,,,,,Not reported - Estimate is based on fewer than 250 unweighted person-years of exposure to the risk of death.
imr,Infant mortality rate (deaths per 1000 live births),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3342,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,INDDHS199817,17 orissa,,,,,89.5 [80.4-99.6],89.00000,80.00000,100.00000,,,
imr,Infant mortality rate (deaths per 1000 live births),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3342,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,INDDHS199818,18 punjab,,,,,56.8 [48.7-66.2],57.00000,49.00000,66.00000,,,
imr,Infant mortality rate (deaths per 1000 live births),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3342,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,INDDHS199819,19 rajasthan,,,,,88.1 [81.5-95.2],88.00000,81.00000,95.00000,,,
imr,Infant mortality rate (deaths per 1000 live births),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3342,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,INDDHS199820,20 sikkim,,,,,No data,,,,,,Not reported - Estimate is based on fewer than 250 unweighted person-years of exposure to the risk of death.
imr,Infant mortality rate (deaths per 1000 live births),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3342,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,INDDHS199821,21 tamil nadu,,,,,51.0 [43.8-59.2],51.00000,44.00000,59.00000,,,
imr,Infant mortality rate (deaths per 1000 live births),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3342,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,INDDHS199822,22 west bengal,,,,,50.9 [43.9-59.0],51.00000,44.00000,59.00000,,,
imr,Infant mortality rate (deaths per 1000 live births),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3342,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,INDDHS199823,23 uttar pradesh,,,,,95.4 [89.7-101.4],95.00000,90.00000,101.00000,,,
imr,Infant mortality rate (deaths per 1000 live births),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3342,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,INDDHS199824,24 new delhi,,,,,46.2 [36.2-59.0],46.00000,36.00000,59.00000,,,
imr,Infant mortality rate (deaths per 1000 live births),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3342,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,INDDHS199825,25 arunachal pradesh,,,,,No data,,,,,,Not reported - Estimate is based on fewer than 250 unweighted person-years of exposure to the risk of death.
imr,Infant mortality rate (deaths per 1000 live births),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3342,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,INDDHS199826,26 tripura,,,,,62.1 [43.8-87.4],62.00000,44.00000,87.00000,,,Attention - Estimate is based on 250-499 unweighted person-years of exposure to the risk of death.
itnch,Children aged < 5 years sleeping under insecticide-treated nets (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3327,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,INDDHS199801,01 andhra pradesh,,,,,No data,,,,,,Not available.
itnch,Children aged < 5 years sleeping under insecticide-treated nets (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3327,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,INDDHS199802,02 assam,,,,,No data,,,,,,Not available.
itnch,Children aged < 5 years sleeping under insecticide-treated nets (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3327,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,INDDHS199803,03 bihar,,,,,No data,,,,,,Not available.
itnch,Children aged < 5 years sleeping under insecticide-treated nets (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3327,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,INDDHS199804,04 goa,,,,,No data,,,,,,Not available.
itnch,Children aged < 5 years sleeping under insecticide-treated nets (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3327,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,INDDHS199805,05 gujarat,,,,,No data,,,,,,Not available.
itnch,Children aged < 5 years sleeping under insecticide-treated nets (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3327,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,INDDHS199806,06 haryana,,,,,No data,,,,,,Not available.
itnch,Children aged < 5 years sleeping under insecticide-treated nets (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3327,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,INDDHS199807,07 himachal pradesh,,,,,No data,,,,,,Not available.
itnch,Children aged < 5 years sleeping under insecticide-treated nets (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3327,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,INDDHS199808,08 jammu and kashmir,,,,,No data,,,,,,Not available.
itnch,Children aged < 5 years sleeping under insecticide-treated nets (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3327,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,INDDHS199809,09 karnataka,,,,,No data,,,,,,Not available.
itnch,Children aged < 5 years sleeping under insecticide-treated nets (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3327,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,INDDHS199810,10 kerala,,,,,No data,,,,,,Not available.
itnch,Children aged < 5 years sleeping under insecticide-treated nets (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3327,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,INDDHS199811,11 madhya pradesh,,,,,No data,,,,,,Not available.
itnch,Children aged < 5 years sleeping under insecticide-treated nets (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3327,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,INDDHS199812,12 maharashtra,,,,,No data,,,,,,Not available.
itnch,Children aged < 5 years sleeping under insecticide-treated nets (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3327,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,INDDHS199813,13 manipur,,,,,No data,,,,,,Not available.
itnch,Children aged < 5 years sleeping under insecticide-treated nets (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3327,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,INDDHS199814,14 meghalaya,,,,,No data,,,,,,Not available.
itnch,Children aged < 5 years sleeping under insecticide-treated nets (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3327,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,INDDHS199815,15 mizoram,,,,,No data,,,,,,Not available.
itnch,Children aged < 5 years sleeping under insecticide-treated nets (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3327,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,INDDHS199816,16 nagaland,,,,,No data,,,,,,Not available.
itnch,Children aged < 5 years sleeping under insecticide-treated nets (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3327,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,INDDHS199817,17 orissa,,,,,No data,,,,,,Not available.
itnch,Children aged < 5 years sleeping under insecticide-treated nets (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3327,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,INDDHS199818,18 punjab,,,,,No data,,,,,,Not available.
itnch,Children aged < 5 years sleeping under insecticide-treated nets (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3327,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,INDDHS199819,19 rajasthan,,,,,No data,,,,,,Not available.
itnch,Children aged < 5 years sleeping under insecticide-treated nets (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3327,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,INDDHS199820,20 sikkim,,,,,No data,,,,,,Not available.
itnch,Children aged < 5 years sleeping under insecticide-treated nets (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3327,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,INDDHS199821,21 tamil nadu,,,,,No data,,,,,,Not available.
itnch,Children aged < 5 years sleeping under insecticide-treated nets (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3327,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,INDDHS199822,22 west bengal,,,,,No data,,,,,,Not available.
itnch,Children aged < 5 years sleeping under insecticide-treated nets (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3327,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,INDDHS199823,23 uttar pradesh,,,,,No data,,,,,,Not available.
itnch,Children aged < 5 years sleeping under insecticide-treated nets (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3327,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,INDDHS199824,24 new delhi,,,,,No data,,,,,,Not available.
itnch,Children aged < 5 years sleeping under insecticide-treated nets (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3327,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,INDDHS199825,25 arunachal pradesh,,,,,No data,,,,,,Not available.
itnch,Children aged < 5 years sleeping under insecticide-treated nets (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3327,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,INDDHS199826,26 tripura,,,,,No data,,,,,,Not available.
itnwm,Pregnant women sleeping under insecticide-treated nets (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3318,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,INDDHS199801,01 andhra pradesh,,,,,No data,,,,,,Not available.
itnwm,Pregnant women sleeping under insecticide-treated nets (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3318,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,INDDHS199802,02 assam,,,,,No data,,,,,,Not available.
itnwm,Pregnant women sleeping under insecticide-treated nets (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3318,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,INDDHS199803,03 bihar,,,,,No data,,,,,,Not available.
itnwm,Pregnant women sleeping under insecticide-treated nets (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3318,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,,,,,,,INDDHS199804,04 goa,,,,,No data,,,,,,Not available.
