GHO (CODE),GHO (DISPLAY),GHO (URL),DATASOURCE (CODE),DATASOURCE (DISPLAY),DATASOURCE (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),STARTYEAR,ENDYEAR,REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),EDUCATIONLEVEL (CODE),EDUCATIONLEVEL (DISPLAY),EDUCATIONLEVEL (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),RESIDENCEAREATYPE (CODE),RESIDENCEAREATYPE (DISPLAY),RESIDENCEAREATYPE (URL),WEALTHQUINTILE (CODE),WEALTHQUINTILE (DISPLAY),WEALTHQUINTILE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
WHS4_544,Polio (Pol3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2443,,,,PUBLISHED,Published,,1982,1982,,SEAR,1982,1982,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,,,,,,,,,,,,,8,8.00000,,,,,
WHS4_544,Polio (Pol3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2443,,,,PUBLISHED,Published,,1983,1983,,SEAR,1983,1983,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,,,,,,,,,,,,,10,10.00000,,,,,
WHS4_544,Polio (Pol3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2443,,,,PUBLISHED,Published,,1996,1996,,SEAR,1996,1996,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,,,,,,,,,,,,,67,67.00000,,,,,
WHS4_544,Polio (Pol3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2443,,,,PUBLISHED,Published,,1997,1997,,SEAR,1997,1997,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,,,,,,,,,,,,,63,63.00000,,,,,
WHS4_544,Polio (Pol3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2443,,,,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,,,,,,,,,,,,,60,60.00000,,,,,
WHS4_544,Polio (Pol3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2443,,,,PUBLISHED,Published,,1999,1999,,SEAR,1999,1999,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,,,,,,,,,,,,,57,57.00000,,,,,
WHS4_544,Polio (Pol3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2443,,,,PUBLISHED,Published,,2013,2013,,SEAR,2013,2013,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,,,,,,,,,,,,,82,82.00000,,,,,
WHS4_544,Polio (Pol3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2443,,,,PUBLISHED,Published,,2014,2014,,SEAR,2014,2014,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,,,,,,,,,,,,,84,84.00000,,,,,
WHS4_544,Polio (Pol3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2443,,,,PUBLISHED,Published,,2015,2015,,SEAR,2015,2015,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,,,,,,,,,,,,,86,86.00000,,,,,
WHS4_544,Polio (Pol3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2443,,,,PUBLISHED,Published,,2016,2016,,SEAR,2016,2016,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,,,,,,,,,,,,,86,86.00000,,,,,
WHS8_110,Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2,,,,PUBLISHED,Published,,1995,1995,,SEAR,1995,1995,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,,,,,,,,,,,,,72,72.00000,,,,,
WHS8_110,Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2,,,,PUBLISHED,Published,,1996,1996,,SEAR,1996,1996,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,,,,,,,,,,,,,66,66.00000,,,,,
WHS8_110,Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2,,,,PUBLISHED,Published,,1997,1997,,SEAR,1997,1997,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,,,,,,,,,,,,,55,55.00000,,,,,
WHS8_110,Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2,,,,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,,,,,,,,,,,,,53,53.00000,,,,,
WHS8_110,Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2,,,,PUBLISHED,Published,,2011,2011,,SEAR,2011,2011,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,,,,,,,,,,,,,84,84.00000,,,,,
WHS8_110,Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2,,,,PUBLISHED,Published,,2012,2012,,SEAR,2012,2012,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,,,,,,,,,,,,,83,83.00000,,,,,
WHS8_110,Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2,,,,PUBLISHED,Published,,2013,2013,,SEAR,2013,2013,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,,,,,,,,,,,,,83,83.00000,,,,,
WHS8_110,Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2,,,,PUBLISHED,Published,,2014,2014,,SEAR,2014,2014,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,,,,,,,,,,,,,85,85.00000,,,,,
WHS8_110,Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2,,,,PUBLISHED,Published,,2015,2015,,SEAR,2015,2015,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,,,,,,,,,,,,,87,87.00000,,,,,
WHS4_128,Neonates protected at birth against neonatal tetanus (PAB) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/98,,,,PUBLISHED,Published,,2008,2008,,SEAR,2008,2008,South-East Asia,,,,,IND,India,,,,,,,,,,,,,,86,86.00000,,,,,
WHS4_128,Neonates protected at birth against neonatal tetanus (PAB) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/98,,,,PUBLISHED,Published,,2007,2007,,SEAR,2007,2007,South-East Asia,,,,,IND,India,,,,,,,,,,,,,,86,86.00000,,,,,
WHS4_128,Neonates protected at birth against neonatal tetanus (PAB) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/98,,,,PUBLISHED,Published,,2006,2006,,SEAR,2006,2006,South-East Asia,,,,,IND,India,,,,,,,,,,,,,,86,86.00000,,,,,
WHS4_128,Neonates protected at birth against neonatal tetanus (PAB) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/98,,,,PUBLISHED,Published,,2005,2005,,SEAR,2005,2005,South-East Asia,,,,,IND,India,,,,,,,,,,,,,,86,86.00000,,,,,
WHS4_128,Neonates protected at birth against neonatal tetanus (PAB) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/98,,,,PUBLISHED,Published,,2004,2004,,SEAR,2004,2004,South-East Asia,,,,,IND,India,,,,,,,,,,,,,,86,86.00000,,,,,
WHS4_128,Neonates protected at birth against neonatal tetanus (PAB) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/98,,,,PUBLISHED,Published,,1991,1991,,SEAR,1991,1991,South-East Asia,,,,,IND,India,,,,,,,,,,,,,,82,82.00000,,,,,
WHS4_128,Neonates protected at birth against neonatal tetanus (PAB) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/98,,,,PUBLISHED,Published,,1990,1990,,SEAR,1990,1990,South-East Asia,,,,,IND,India,,,,,,,,,,,,,,81,81.00000,,,,,
WHS4_128,Neonates protected at birth against neonatal tetanus (PAB) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/98,,,,PUBLISHED,Published,,1989,1989,,SEAR,1989,1989,South-East Asia,,,,,IND,India,,,,,,,,,,,,,,70,70.00000,,,,,
WHS4_128,Neonates protected at birth against neonatal tetanus (PAB) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/98,,,,PUBLISHED,Published,,1988,1988,,SEAR,1988,1988,South-East Asia,,,,,IND,India,,,,,,,,,,,,,,72,72.00000,,,,,
pnchome3,Postnatal care visit within two days of birth - born outside a health facility (in the three years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3341,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2005,2005,,SEAR,2005,2005,South-East Asia,,,,,IND,India,,,,,FMLE,Female,,,,,,,,1.6,1.58000,,,,,
pnchome5,Postnatal care visit within two days of birth - born outside a health facility (in the five years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3341,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2005,2005,,SEAR,2005,2005,South-East Asia,,,,,IND,India,,,,,FMLE,Female,,,,,,,,1.6,1.57000,,,,,
pncall3,Postnatal care visit within two days of birth (in the three years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3340,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2005,2005,,SEAR,2005,2005,South-East Asia,,,,,IND,India,,,,,,,,URB,Urban,,,,,71.1,71.14000,,,,,
pnchome5,Postnatal care visit within two days of birth - born outside a health facility (in the five years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3341,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2005,2005,,SEAR,2005,2005,South-East Asia,,,,,IND,India,,,,,,,,RUR,Rural,,,,,1.3,1.32000,,,,,
pncall3,Postnatal care visit within two days of birth (in the three years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3340,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2005,2005,,SEAR,2005,2005,South-East Asia,,,,,IND,India,,,,,,,,,,,WQ1,Q1 (Poorest),,14.7,14.72000,,,,,
pncall3,Postnatal care visit within two days of birth (in the three years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3340,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2005,2005,,SEAR,2005,2005,South-East Asia,,,,,IND,India,,,,,,,,,,,WQ3,Q3,,43.1,43.06000,,,,,
pncall5,Postnatal care visit within two days of birth (in the five years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3340,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2005,2005,,SEAR,2005,2005,South-East Asia,,,,,IND,India,,,,,,,,,,,WQ3,Q3,,42.2,42.20000,,,,,
pncall5,Postnatal care visit within two days of birth (in the five years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3340,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2005,2005,,SEAR,2005,2005,South-East Asia,,,,,IND,India,,,,,,,,,,,WQ5,Q5 (Richest),,86.2,86.15000,,,,,
pnchome5,Postnatal care visit within two days of birth - born outside a health facility (in the five years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3341,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2005,2005,,SEAR,2005,2005,South-East Asia,,,,,IND,India,,,,,,,,,,,WQ2,Q2,,1.4,1.38000,,,,,
pnchome5,Postnatal care visit within two days of birth - born outside a health facility (in the five years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3341,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2005,2005,,SEAR,2005,2005,South-East Asia,,,,,IND,India,,,,,,,,,,,WQ4,Q4,,2.4,2.43000,,,,,
pncall5,Postnatal care visit within two days of birth (in the five years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3340,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2005,2005,,SEAR,2005,2005,South-East Asia,,,,,IND,India,,NHLM,None,,,,,,,,,,,20.8,20.81000,,,,,
pncall5,Postnatal care visit within two days of birth (in the five years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3340,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2005,2005,,SEAR,2005,2005,South-East Asia,,,,,IND,India,,SHLM,Secondary or higher,,,,,,,,,,,70.0,70.04000,,,,,
MDG_0000000027,Children aged <5 years stunted (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/72,NLIS_310387,NLIS_310387,http://apps.who.int/nutrition/landscape/mddetails.aspx?sourcecode=310387,PUBLISHED,Published,,1991-1992,1991-1992,,SEAR,1991,1992,South-East Asia,,,,,IND,India,,,,,BTSX,Both sexes,,,,,,,,65.4,65.40000,,,,,
WHOSIS_000008,Children aged <5 years underweight (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/27,NLIS_311549,NLIS_311549,http://apps.who.int/nutrition/landscape/mddetails.aspx?sourcecode=311549,PUBLISHED,Published,,1992-1993,1992-1993,,SEAR,1992,1993,South-East Asia,,,,,IND,India,,,,,MLE,Male,,,,,,,,52.4,52.40000,,,,,
MDG_0000000027,Children aged <5 years stunted (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/72,NLIS_312180,NLIS_312180,http://apps.who.int/nutrition/landscape/mddetails.aspx?sourcecode=312180,PUBLISHED,Published,,1998-1999,1998-1999,,SEAR,1998,1999,South-East Asia,,,,,IND,India,,,,,MLE,Male,,,,,,,,51.2,51.20000,,,,,
WHOSIS_000008,Children aged <5 years underweight (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/27,NLIS_312180,NLIS_312180,http://apps.who.int/nutrition/landscape/mddetails.aspx?sourcecode=312180,PUBLISHED,Published,,1998-1999,1998-1999,,SEAR,1998,1999,South-East Asia,,,,,IND,India,,,,,MLE,Male,,,,,,,,45.0,45.00000,,,,,
NUTRITION_564,Children aged <5 years wasted for age (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/302,NLIS_311549,NLIS_311549,http://apps.who.int/nutrition/landscape/mddetails.aspx?sourcecode=311549,PUBLISHED,Published,,1992-1993,1992-1993,,SEAR,1992,1993,South-East Asia,,,,,IND,India,,,,,BTSX,Both sexes,,,,,,,,21.1,21.10000,,,,,
NUTRITION_564,Children aged <5 years wasted for age (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/302,NLIS_310396,NLIS_310396,http://apps.who.int/nutrition/landscape/mddetails.aspx?sourcecode=310396,PUBLISHED,Published,,1974-1979,1974-1979,,SEAR,1974,1979,South-East Asia,,,,,IND,India,,,,,BTSX,Both sexes,,,,,,,,20.3,20.30000,,,,,
NUTRITION_564,Children aged <5 years wasted for age (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/302,NLIS_312799,NLIS_312799,http://apps.who.int/nutrition/landscape/mddetails.aspx?sourcecode=312799,PUBLISHED,Published,,2005-2006,2005-2006,,SEAR,2005,2006,South-East Asia,,,,,IND,India,,,,,BTSX,Both sexes,,,,,,,,20.0,20.00000,,,,,
NUTRITION_564,Children aged <5 years wasted for age (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/302,NLIS_312180,NLIS_312180,http://apps.who.int/nutrition/landscape/mddetails.aspx?sourcecode=312180,PUBLISHED,Published,,1998-1999,1998-1999,,SEAR,1998,1999,South-East Asia,,,,,IND,India,,,,,FMLE,Female,,,,,,,,19.2,19.20000,,,,,
WHOSIS_000009,Children aged <5 years overweight (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/74,NLIS_312180,NLIS_312180,http://apps.who.int/nutrition/landscape/mddetails.aspx?sourcecode=312180,PUBLISHED,Published,,1998-1999,1998-1999,,SEAR,1998,1999,South-East Asia,,,,,IND,India,,,,,BTSX,Both sexes,,,,,,,,3.6,3.60000,,,,,
WHOSIS_000009,Children aged <5 years overweight (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/74,NLIS_312799,NLIS_312799,http://apps.who.int/nutrition/landscape/mddetails.aspx?sourcecode=312799,PUBLISHED,Published,,2005-2006,2005-2006,,SEAR,2005,2006,South-East Asia,,,,,IND,India,,,,,FMLE,Female,,,,,,,,1.7,1.70000,,,,,
WHOSIS_000006,Infants exclusively breastfed for the first six months of life (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/130,,,,PUBLISHED,Published,,2015,2015,,SEAR,2015,2015,South-East Asia,,,,,IND,India,,,,,,,,,,,,,,54.9,54.87259,,,,,
NUTRITION_HA_2,Prevalence of stunted children aged <5 years   (% height-for-age <-2 SD),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/72,,,,PUBLISHED,Published,,1988-1990,1988-1990,,SEAR,1988,1990,South-East Asia,,,,,IND,India,,,,,BTSX,Both sexes,,,,,,,,62.7,62.70000,,,,,"Other. National Nutrition Monitoring Bureau, 1988-90 (8 States pooled data). Hyderabad, India; 1993 (data reanalyzed for WHO)..National Institute of Nutrition.. Adjusted NR to NA; 8 States; converted estimates"
NUTRITION_HA_2,Prevalence of stunted children aged <5 years   (% height-for-age <-2 SD),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/72,,,,PUBLISHED,Published,,1992-1993,1992-1993,,SEAR,1992,1993,South-East Asia,,,,,IND,India,,,,,BTSX,Both sexes,,,,,,,,57.7,57.70000,,,,,"DHS. National family health survey, India 1992-93. Demographic and Health Surveys. Bombay, India, 1995 (and additional analysis)..International Institute for Population Sciences.. Age-adjusted;"
NUTRITION_WA_2,Prevalence of underweight children aged <5 years   (% weight-for-age <-2 SD) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/27,,,,PUBLISHED,Published,,1996-1997,1996-1997,,SEAR,1996,1997,South-East Asia,,,,,IND,India,,,,,BTSX,Both sexes,,,,,,,,38.4,38.40000,,,,,"Other. Diet and nutrition situation in rural India. Indian Journal of Medical Research 1998;108:243-253 (and additional analysis)..Vijayaraghavan K, Hanumantha Rao D.. Adjusted NR to NA; 11 States; converted estimates"
NUTRITION_WA_2,Prevalence of underweight children aged <5 years   (% weight-for-age <-2 SD) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/27,,,,PUBLISHED,Published,,2005-2006,2005-2006,,SEAR,2005,2006,South-East Asia,,,,,IND,India,,,,,BTSX,Both sexes,,,,,,,,43.5,43.50486,,,,,"DHS. National family health survey (NFHS-3), 2005-06: India: Volume I. Demographic and Health Surveys. Mumbai, India: IIPS, 2007 (and additional analysis)..International Institute for Population Sciences (IIPS) and Macro International.. "
NUTRITION_WA_2,Prevalence of underweight children aged <5 years   (% weight-for-age <-2 SD) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/27,,,,PUBLISHED,Published,,2015-2016,2015-2016,,SEAR,2015,2016,South-East Asia,,,,,IND,India,,,,,BTSX,Both sexes,,,,,,,,36.3,36.26835,,,,,"DHS. National Family Health Survey (NFHS-4), 2015-16: India. Mumbai: IIPS. 2017 (and additional analysis).Ministry of Health and Family Welfare, Government of India. "
NUTRITION_WH2,Prevalence of overweight children aged <5 years   (% weight-for-height >+2 SD),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/74,,,,PUBLISHED,Published,,1991-1992,1991-1992,,SEAR,1991,1992,South-East Asia,,,,,IND,India,,,,,BTSX,Both sexes,,,,,,,,,,,,,,"Other. National Nutrition Monitoring Bureau, 1991-92 (8 States pooled data). Hyderabad, India; 1993 (data reanalyzed for WHO)..National Institute of Nutrition.. Adjusted NR to NA; 8 States; converted estimates"
NUTRITION_WH2,Prevalence of overweight children aged <5 years   (% weight-for-height >+2 SD),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/74,,,,PUBLISHED,Published,,2016-2018,2016-2018,,SEAR,2016,2018,South-East Asia,,,,,IND,India,,,,,BTSX,Both sexes,,,,,,,,1.6,1.60000,,,,,"NNS. Comprehensive National Nutrition Survey (CNNS) National Report. New Delhi.Ministry of Health and Family Welfare (MoHFW), Government of India, UNICEF and Population Council. 0-4 years old"
NUTRITION_WH_2,Prevalence of wasted children aged <5 years   (% weight-for-height <-2 SD),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/302,,,,PUBLISHED,Published,,1992-1993,1992-1993,,SEAR,1992,1993,South-East Asia,,,,,IND,India,,,,,BTSX,Both sexes,,,,,,,,19.9,19.90000,,,,,"DHS. National family health survey, India 1992-93. Demographic and Health Surveys. Bombay, India, 1995 (and additional analysis)..International Institute for Population Sciences.. Age-adjusted;"
NUTRITION_WH_2,Prevalence of wasted children aged <5 years   (% weight-for-height <-2 SD),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/302,,,,PUBLISHED,Published,,1998-1999,1998-1999,,SEAR,1998,1999,South-East Asia,,,,,IND,India,,,,,BTSX,Both sexes,,,,,,,,17.1,17.10000,,,,,"DHS. National family health survey (NFHS-2) 1998-99. Demographic and Health Surveys. Mumbai, India, 2000 (and additional analysis)..International Institute for Population Sciences (IIPS) and ORC Macro.. Age-adjusted;"
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4756,,,,PUBLISHED,Published,,2012,2012,,SEAR,2012,2012,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,,,,,,,,,,,,,36,36.00000,,,,,
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4756,,,,PUBLISHED,Published,,2017,2017,,SEAR,2017,2017,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,,,,,,,,,,,,,80,80.00000,,,,,
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4756,,,,PUBLISHED,Published,,2019,2019,,SEAR,2019,2019,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,,,,,,,,,,,,,84,84.00000,,,,,
WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/88,,,,PUBLISHED,Published,,1980,1980,,SEAR,1980,1980,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,,,,,,,,,,,,,6,6.00000,,,,,
WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/88,,,,PUBLISHED,Published,,1985,1985,,SEAR,1985,1985,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,,,,,,,,,,,,,18,18.00000,,,,,
WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/88,,,,PUBLISHED,Published,,1987,1987,,SEAR,1987,1987,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,,,,,,,,,,,,,30,30.00000,,,,,
WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/88,,,,PUBLISHED,Published,,1989,1989,,SEAR,1989,1989,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,,,,,,,,,,,,,50,50.00000,,,,,
WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/88,,,,PUBLISHED,Published,,1994,1994,,SEAR,1994,1994,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,,,,,,,,,,,,,67,67.00000,,,,,
WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/88,,,,PUBLISHED,Published,,1996,1996,,SEAR,1996,1996,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,,,,,,,,,,,,,66,66.00000,,,,,
WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/88,,,,PUBLISHED,Published,,2003,2003,,SEAR,2003,2003,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,,,,,,,,,,,,,61,61.00000,,,,,
WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/88,,,,PUBLISHED,Published,,2005,2005,,SEAR,2005,2005,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,,,,,,,,,,,,,65,65.00000,,,,,
WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/88,,,,PUBLISHED,Published,,2012,2012,,SEAR,2012,2012,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,,,,,,,,,,,,,82,82.00000,,,,,
WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/88,,,,PUBLISHED,Published,,2014,2014,,SEAR,2014,2014,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,,,,,,,,,,,,,85,85.00000,,,,,
WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/88,,,,PUBLISHED,Published,,2019,2019,,SEAR,2019,2019,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,,,,,,,,,,,,,91,91.00000,,,,,
WHS4_117,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/95,,,,PUBLISHED,Published,,2005,2005,,SEAR,2005,2005,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,,,,,,,,,,,,,8,8.00000,,,,,
WHS4_117,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/95,,,,PUBLISHED,Published,,2012,2012,,SEAR,2012,2012,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,,,,,,,,,,,,,73,73.00000,,,,,
WHS4_117,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/95,,,,PUBLISHED,Published,,2014,2014,,SEAR,2014,2014,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,,,,,,,,,,,,,79,79.00000,,,,,
